"X","Y"
120.6,84.4
124.2,76.9
126.2,82.3
127.6,80
128.9,76.7
123,80.3
116.2,78.4
121,79.2
127,83
117.8,81.4
122,86.2
118.1,82
125,81.6
119.5,78.4
129.6,81.8
122.7,77
128.5,86.7
127.1,81.7
120.1,81.6
122,84.1
116.9,81
122.1,76.7
121.6,88.4
121,84.7
119.7,85.4
116.3,77.1
117.7,85.3
122.9,81.3
121.9,88.4
125.8,80.6
121.3,76.6
120.2,79.9
122.4,84.2
125.6,80.7
125.5,82.1
121,81.2
118.5,77.7
124.6,82.3
119.3,87.7
123.4,83.3
122.4,82.2
122.6,86.2
121,83.7
118.6,80.1
130.6,87.1
118.2,75.4
126.2,85.3
129.3,85.7
113.2,82.3
127.2,84.9
122.4,82.5
126.7,81.5
122.3,82.3
120,75.4
124.1,77.3
125.3,85.2
120.1,76.2
116.7,82.3
119.7,80.4
117,84.5
124.1,84.2
121.5,83.1
125.2,82.2
118.9,84.3
124.2,80.7
118.6,78.2
126,84.2
120.4,81.7
118.3,84.5
126.1,83.8
122.4,79.1
119.1,77.5
120.7,80.8
118.2,84.4
117.4,76.9
123.7,82.4
122.7,78.4
118.9,83.9
121.5,80.8
124.5,80.1
119.9,84.5
124.8,76
120.9,81.5
124,83.8
130.7,80.8
122.2,78.1
121.5,83.3
121.8,78.5
116.9,80.7
121.2,82.5
124.1,79.3
